segid	original	translation	accuracy	fluency	tq	mean	scaled_tq	scaled_mean	da
RU_1_172_9_s16	While podium finishes always help build confidence the priority for the British Bobsleigh squad is to claim as many world ranking points as possible over the coming months.	Старые победы всегда придают уверенности спортсменам, но для Британской команды по бобслею сейчас важны новые, их главной целью является получение как можно большего количества очков в международных отборочных заездах, которые устраивает Международная Федерация бобслея и тобогганинга.	100.0	96.42857142857143	96.42857142857143	98.21428571428572	94.72789115646259	94.72789115646259	85.0
RU_1_202_12_s6	On some of the capsule interiors we used large diffusion frames to provide the effect of the capsule being lit by Earth with blue and green filters fixed to the diffusion frames.	В некоторых внутренних отсеках космического корабля мы использовали фростовые рамы и прикрепленные к ним синие и зеленые фильтры, чтобы казалось, что свет в отсек корабля поступает от Земли.	100.0	96.875	96.875	98.4375	94.79166666666669	94.79166666666669	
RU_1_238_11_s14	Since women make up 51 per cent of the world's population, these figures illustrate just how much women are underrepresented.	С тех пор как доля женщин среди всего населения мира составила 51 процент, стало понятно, насколько эти цифры отражают то, как мало задействованы женщины в некоторых сферах деятельности.	0.0	95.0	-5.0	47.5	80.23809523809524	80.23809523809524	
RU_1_377_2_s11	So why do these new monopolies pose a problem?	Так почему же эти современные монополии создают проблему?	100.0	100.0	100.0	100.0	95.23809523809523	95.23809523809523	12345.0
RU_1_202_7_s18	We did some tests and came up with some ideas so we proceeded from there.	Мы сделали несколько проб и придумали некоторые идеи, и, таким образом, мы перешли на следующий этап разработки фильма.	93.33333333333331	100.0	93.33333333333331	96.66666666666666	94.2857142857143	94.28571428571428	
RU_1_126_2_s6	Linkage of US security with the spread of democracy is not new.	Взаимосвязь обеспечения безопасности США с распространением демократии не является чем-то новым.	100.0	91.66666666666669	91.66666666666669	95.83333333333334	94.04761904761908	94.04761904761908	96.6666666666667
RU_1_131_7_s16	"To recreate the photosynthesis that plants have perfected, an energy conversion system has to be able to do two crucial things (probably inside of some type of nanotube that acts as the structural ""leaf""): harvest sunlight and split water molecules."	"Чтобы воссоздать процесс фотосинтеза по принципу того, как это делают растения, система преобразования энергии должна выполнять 2 обязательные функции (вероятно, внутри некой нанотрубки, действующей подобно структуре ""листа""): получение энергии солнца и расщепление молекул воды."	100.0	92.5	92.5	96.25	94.16666666666669	94.16666666666669	86.0
RU_1_202_4_s29	The standard of control available now from computer controlled dimming, LED technology and moving lights is fantastic.	В наши дни стандарт на проведение контрольных испытаний  стал доступным благодаря компьютерному управлению затемнения,  а светодиодные технологии  и вращающаяся голова являются фантастическими открытиями.	-17.647058823529424	100.0	-17.647058823529424	41.17647058823529	78.43137254901963	78.43137254901963	
RU_1_377_16_s4	Data is the new oil.	Данные- это новая нефть.	100.0	100.0	100.0	100.0	95.23809523809523	95.23809523809523	93.3333333333333
RU_1_170_4_s10	English and social studies teachers face the same problem when school officials, more interested in boasting about the numbers of kids in higher-level courses than in what they really learn, place students without the requisite skills in advanced placement classes.	Учителя английского языка и других гуманитарных дисциплин сталкиваются с такой же проблемой, когда руководство школы более заинтересованно в количестве учеников, посещающих углубленные курсы, а не в качестве их знаний, отправляя их в такие классы, для которых у них не хватает элементарных знаний и способностей.	75.0	75.0	50.0	75.0	88.09523809523809	88.09523809523809	
RU_1_232_6_s5	The new National Security Strategy reaffirms the United States' profound commitment to a Europe that is free, whole, and at peace.	Новая Стратегия национальной безопасности подтверждает, что США глубоко привержены свободной, целостной и мирной Европе.	100.0	95.23809523809523	95.23809523809523	97.61904761904762	94.55782312925173	94.55782312925173	92.3333333333333
RU_1_246_7_s12	Oh yeah, said 73% of married men (chests swelling as they answered, it seems safe to assume, shoulders back, and thumbs jammed in their belts).	Как бы ни так, ответили 73% опрошенных женатых мужчин (казалось, что во время ответа мужчины выпячивали грудь, гордо расправляли плечи и цеплялись пальцами за ремень).	20.0	100.0	20.0	60.0	83.80952380952381	83.80952380952381	
RU_1_131_5_s14	We'll find out what the system has to be able to do, check out some current methods of achieving artificial photosynthesis and see why it's not as easy to design as some other energy-conversion systems.	Мы узнаем, на что система должна быть способна, узнаем современные способы получения искусственного фотосинтеза, а также постараемся понять, почему ее так трудно реализовать на практике, в отличие от других преобразовательных систем.	71.42857142857143	42.85714285714286	14.285714285714292	57.14285714285714	82.99319727891158	82.99319727891158	
RU_1_377_17_s12	So why do these new monopolies pose a problem?	Казалось бы, какие проблемы могут возникнуть у этих монополистов?	-122.22222222222223	100.0	-122.22222222222223	-11.111111111111114	63.4920634920635	63.4920634920635	
RU_1_245_17_s13	In this case, the researchers have made some extraordinarily specific interpretations of the incredibly broad range of brain-activity patterns that seemed to be associated with greater literary awareness.	В этом случае, исследователи сделали несколько экстраординарных интерпретаций мозговой деятельности, которые были связаны с начитанностью человека.	100.0	100.0	103.57142857142857	101.78571428571428	95.74829931972788	95.74829931972788	
RU_1_241_6_s5	A cynical answer is: when your neighbour loses his job it's a slowdown (or, if you dislike him, a correction); when you lose yours, it's a recession; when an economic journalist loses his, that's a depression.	Простой, но несколько циничный ответ таков: когда сокращают соседа - это замедление экономики (или, если он вам не нравится, коррекция рынка); когда увольняют Вас - это рецессия; когда экономический обозреватель теряет работу - это уже депрессия.	100.0	72.22222222222223	72.22222222222223	86.11111111111109	91.2698412698413	91.2698412698413	91.0
RU_1_265_18_s2	The dire prophecies of doom have not come true-yet. But the economy is slowing	Мрачные прогнозы пока не сбылись, но экономика уже замедляется	100.0	92.85714285714286	92.85714285714286	96.42857142857143	94.21768707482994	94.21768707482994	
RU_1_268_3_s40	It's immediate and passive.	Это сейчас или уже произошло?	-400.0	100.0	-400.0	-150.0	23.80952380952382	23.80952380952382	51.3333333333333
RU_1_196_18_s24	They will become extremely vulnerable to more innovative companies that have better products and move on fast lifecycles.	Корпорации станут уязвимыми по сравнению с более инновационными компаниями, которые имеют лучшую продукцию и двигаются в ногу со временем.	100.0	88.88888888888891	88.88888888888891	94.44444444444444	93.65079365079364	93.65079365079364	
RU_1_25_2_s10	But there were some unlikely defenders.	Но все же некоторые согласились с установленными правилами.	83.33333333333334	100.0	83.33333333333334	91.66666666666669	92.85714285714286	92.85714285714286	
RU_1_202_13_s24	My nickname is derived from a very long moustache I had and it is from the Biggles books written by Captain W E Johns, which were schoolboy favourites over many years.	А прозвище я получил за свои усы: в то время я был похож на героя из книг капитана У.Э. Джонса, которые были любимы школьниками в мое время.	96.77419354838707	100.0	96.77419354838707	98.38709677419355	94.77726574500772	94.77726574500772	
RU_1_245_11_s0	Does Reading Literature Really Beef Up Your Brain? September 3, 2015. By Christian Jarrett	Чтение литературы расширяет умственные способности? 3 сентября 2015 Автор Кристофер Джарретт	100.0	92.85714285714286	92.85714285714286	96.42857142857143	94.21768707482994	94.21768707482994	
RU_1_131_6_s3	Humans, on the other hand, are looking for liquid fuel to power cars and electricity to run refrigerators.	В тоже время люди разрабатывают технологии получения жидкого топлива для автомобилей и вырабатывают электроэнергию.	44.444444444444436	100.0	44.444444444444436	72.22222222222223	87.30158730158729	87.30158730158729	
RU_1_245_26_s3	But who's to say that people with more empathy don't just read more?	И все же кто сможет противоречить этому умозаключению?	-53.84615384615387	100.0	-53.84615384615387	23.076923076923066	73.26007326007328	73.26007326007328	
RU_1_202_11_s20	This is great for me as I got fantastic guidance from him as to his thinking and ideas.	Я думаю, это просто чудесно, ведь его идеи и размышления стали для меня превосходным руководством.	100.0	94.44444444444444	94.44444444444444	97.22222222222223	94.44444444444444	94.44444444444444	
RU_1_146_9_s3	Bruno was burnt at the stake, in Rome, in the year 1600.	За эти мысли Бруно был сожжен на костре в Риме, в 1600 году.	100.0	91.66666666666669	91.66666666666669	95.83333333333334	94.04761904761908	94.04761904761908	
RU_1_196_14_s21	So, now is the time to prepare. And change your business to align with impending new realities.	Так что сейчас самое время подготовиться к изменению своего бизнеса, в соответствии с современными реалиями.	100.0	100.0	105.88235294117644	102.94117647058823	96.07843137254903	96.07843137254903	
RU_1_189_6_s12	The African continent will grow on average 6% in 2014.	В 2014 году рост экономики в африканских странах вырастет в среднем на 6%.	100.0	-10.000000000000012	-10.000000000000012	44.99999999999999	79.52380952380953	79.52380952380953	
